topicId,weight,count_all,word_u,source
5,0.00278644822466,3927,pis,Super_Express
5,0.00274896253139,3682,kobieta,Super_Express
5,0.00265314263224,3762,mezczyzna,Super_Express
5,0.00216124183709,3174,duda,Super_Express
5,0.00207450313501,2988,rzad,Super_Express
5,0.00204416949606,2861,pomoc,Super_Express
5,0.00200543445493,2710,kaczynski,Super_Express
5,0.00199835325053,2702,minister,Super_Express
5,0.00197748836923,2693,prawo,Super_Express
5,0.00193039645045,2642,polityk,Super_Express
5,0.00186940690158,2641,rodzina,Super_Express
5,0.00181198275894,2559,andrzej,Super_Express
5,0.00180281014757,2571,posel,Super_Express
5,0.00179193862276,2536,partia,Super_Express
6,0.00288339685932,3927,pis,Super_Express
6,0.00278887783954,3936,policja,Super_Express
6,0.00265976470192,3762,mezczyzna,Super_Express
6,0.00257254177459,3682,kobieta,Super_Express
6,0.00229249006191,3174,duda,Super_Express
6,0.0021845636538,2988,rzad,Super_Express
6,0.00208324539239,2861,pomoc,Super_Express
6,0.00197987788747,2710,kaczynski,Super_Express
6,0.00195565296944,2642,polityk,Super_Express
6,0.00195039127621,2571,posel,Super_Express
6,0.00194364195212,2641,rodzina,Super_Express
6,0.00191374279967,2693,prawo,Super_Express
6,0.00190847680702,2702,minister,Super_Express
6,0.00184569010626,2559,andrzej,Super_Express
6,0.0018405343958,2494,godzina,Super_Express
7,0.00296841587778,3936,policja,Super_Express
7,0.00294782001079,3927,pis,Super_Express
7,0.00279999895001,3682,kobieta,Super_Express
7,0.00279581013271,3762,mezczyzna,Super_Express
7,0.00231141166475,3174,duda,Super_Express
7,0.00226120907363,2988,rzad,Super_Express
7,0.00205072123183,2861,pomoc,Super_Express
7,0.0020477104664,2702,minister,Super_Express
7,0.00204585411426,2710,kaczynski,Super_Express
7,0.00199758229188,2571,posel,Super_Express
7,0.00196091869729,2693,prawo,Super_Express
7,0.00195814939798,2642,polityk,Super_Express
7,0.00188083810112,2536,partia,Super_Express
7,0.00186696446733,2559,andrzej,Super_Express
7,0.00185792976641,2641,rodzina,Super_Express
